id,timestamp,distancia,posture_status
1,2024-08-26 16:35:49,17,0
2,2024-08-26 16:35:49,17,0
3,2024-08-26 16:35:50,17,0
4,2024-08-26 16:35:52,11,0
5,2024-08-26 16:35:54,14,0
6,2024-08-26 16:35:57,58,0
7,2024-08-26 16:35:59,14,0
8,2024-08-26 16:36:01,13,0
9,2024-08-26 16:36:03,54,0
10,2024-08-26 16:36:05,13,0
11,2024-08-26 16:36:08,17,0
12,2024-08-26 16:36:10,11,0
13,2024-08-26 16:36:12,13,0
14,2024-08-26 16:36:14,19,0
15,2024-08-26 16:36:16,65,0
16,2024-08-26 16:36:18,23,0
17,2024-08-26 16:36:20,14,0
18,2024-08-26 17:03:23,17,
19,2024-08-26 17:03:24,20,
20,2024-08-26 17:03:26,16,
21,2024-08-26 17:03:31,17,0
22,2024-08-26 17:04:36,38,0
23,2024-08-26 17:04:36,39,0
24,2024-08-26 17:04:38,82,0
25,2024-08-26 17:04:40,38,0
26,2024-08-26 17:04:44,39,0
27,2024-08-26 17:04:46,17,0
28,2024-08-26 17:10:14,51,0
29,2024-08-26 17:10:14,14,
30,2024-08-26 17:10:15,16,
31,2024-08-26 17:10:18,62,0
32,2024-08-26 17:10:20,45,0
33,2024-08-26 17:10:22,29,0
34,2024-08-26 17:15:07,56,0
35,2024-08-26 17:15:07,25,0
36,2024-08-26 17:15:09,44,0
37,2024-08-26 17:15:11,64,0
38,2024-08-26 17:15:13,65,0
39,2024-08-26 17:15:44,65,0
40,2024-08-26 17:15:44,64,0
41,2024-08-26 17:15:45,66,0
42,2024-08-26 17:15:49,45,1
43,2024-08-26 17:15:51,65,1
44,2024-08-26 17:24:09,62,0
45,2024-08-26 17:24:09,48,0
46,2024-08-26 17:25:19,48,0
47,2024-08-26 17:25:22,47,1
48,2024-08-26 17:25:22,30,1
49,2024-08-26 17:26:30,64,0
50,2024-08-26 17:26:34,67,0
51,2024-08-26 17:26:36,76,0
52,2024-08-26 17:27:43,81,0
53,2024-08-26 17:27:46,61,0
54,2024-08-26 17:27:46,75,0
55,2024-08-26 17:29:03,64,0
56,2024-08-26 17:29:03,64,0
57,2024-08-26 17:29:05,60,0
58,2024-08-26 17:29:08,64,1
59,2024-08-26 17:29:10,65,1
60,2024-08-26 17:29:12,62,1
61,2024-08-26 17:29:14,65,1
62,2024-08-26 17:29:16,66,1
63,2024-08-26 17:29:18,63,1
64,2024-08-26 17:29:20,59,1
65,2024-08-26 17:29:22,55,1
66,2024-08-26 17:31:27,56,0
67,2024-08-26 17:31:30,51,1
68,2024-08-26 17:31:30,57,1
69,2024-08-26 17:31:30,54,1
70,2024-08-26 17:31:32,55,1
71,2024-08-26 17:31:35,9,1
72,2024-08-26 17:31:37,53,1
73,2024-08-26 17:31:39,53,0
74,2024-08-26 17:31:42,49,0
75,2024-08-27 11:11:49,29,0
76,2024-08-27 11:12:05,40,0
77,2024-08-27 11:14:11,57,0
78,2024-08-27 11:14:14,41,0
79,2024-08-27 11:14:14,59,0
80,2024-08-27 11:14:16,24,0
81,2024-08-27 11:14:18,20,0
82,2024-08-27 11:14:21,21,1
83,2024-08-27 11:14:23,20,1
84,2024-08-27 11:14:25,19,1
85,2024-08-27 11:14:27,19,1
86,2024-08-27 11:14:29,66,1
87,2024-08-27 11:22:19,40,0
88,2024-08-27 11:22:20,39,0
89,2024-08-27 11:22:23,42,0
90,2024-08-27 11:22:25,38,0
91,2024-08-27 11:22:28,42,0
92,2024-08-27 11:22:33,60,1
93,2024-08-27 11:22:35,39,1
94,2024-08-27 11:22:38,40,1
95,2024-08-27 11:24:41,15,0
96,2024-08-27 11:24:43,17,1
97,2024-08-27 11:24:43,18,1
98,2024-08-27 11:24:45,18,0
99,2024-08-27 11:24:47,18,0
100,2024-08-27 11:25:00,54,1
101,2024-08-27 11:27:04,53,0
102,2024-08-27 11:27:05,51,0
103,2024-08-27 11:27:07,57,0
104,2024-08-27 11:27:12,41,0
105,2024-08-27 11:27:15,42,1
106,2024-08-27 11:27:17,42,1
107,2024-08-27 11:27:20,41,1
108,2024-08-27 11:27:22,54,1
109,2024-08-27 11:34:27,59,1
110,2024-08-27 11:34:32,41,0
111,2024-08-27 11:34:34,52,0
112,2024-08-27 11:34:39,60,1
113,2024-08-27 11:34:45,61,1
114,2024-08-29 09:43:46,65,1
115,2024-08-29 09:43:46,68,1
116,2024-08-29 09:43:47,68,1
117,2024-08-29 09:43:49,64,1
118,2024-08-29 09:43:51,63,1
119,2024-08-29 09:43:53,67,1
120,2024-08-29 09:43:56,70,1
121,2024-08-29 09:43:58,67,1
122,2024-08-29 09:44:00,67,0
123,2024-08-29 09:44:02,65,1
124,2024-08-29 09:44:04,63,0
125,2024-08-29 09:46:08,62,0
126,2024-08-29 09:46:12,64,1
127,2024-08-29 09:46:12,64,1
128,2024-08-29 09:46:13,64,1
129,2024-08-29 09:46:16,64,1
130,2024-08-29 09:46:18,53,1
131,2024-08-29 09:46:20,53,1
132,2024-08-29 09:46:22,55,0
133,2024-08-29 09:46:25,52,0
134,2024-08-29 09:46:27,51,0
135,2024-09-02 09:23:25,36,1
136,2024-09-02 09:23:25,69,1
137,2024-09-02 09:23:27,45,0
138,2024-09-02 09:23:30,40,0
139,2024-09-02 09:23:32,39,1
140,2024-09-02 09:23:34,39,1
141,2024-09-02 09:25:50,7,1
142,2024-09-02 09:25:50,31,1
143,2024-09-02 09:25:51,27,1
144,2024-09-02 09:25:52,25,1
145,2024-09-02 09:25:54,31,1
146,2024-09-02 09:25:56,36,1
147,2024-09-02 09:25:59,40,0
148,2024-09-02 09:26:01,37,1
149,2024-09-02 09:26:03,39,1
150,2024-09-02 09:26:05,39,1
151,2024-09-02 09:26:07,37,1
152,2024-09-02 09:26:09,36,1
153,2024-09-02 09:28:14,32,0
154,2024-09-02 09:28:14,32,0
155,2024-09-02 09:28:15,34,0
156,2024-09-02 09:28:18,32,0
157,2024-09-02 09:28:20,32,0
158,2024-09-02 09:28:22,32,0
159,2024-09-02 09:28:24,32,0
160,2024-09-02 09:28:26,33,0
161,2024-09-02 09:28:28,34,0
162,2024-09-02 09:28:30,32,0
163,2024-09-02 09:28:32,33,0
164,2024-09-02 09:30:00,35,0
165,2024-09-02 09:30:16,39,1
166,2024-09-02 09:30:18,35,1
167,2024-09-02 09:41:29,0,0
168,2024-09-02 09:41:30,36,0
169,2024-09-02 09:41:32,33,1
170,2024-09-02 09:41:37,11,0
171,2024-09-02 09:41:39,23,1
172,2024-09-02 09:41:42,24,1
173,2024-09-02 09:41:44,23,1
174,2024-09-02 09:41:46,22,1
175,2024-09-02 09:41:48,21,1
176,2024-09-02 09:43:13,63,1
177,2024-09-02 09:43:16,45,0
178,2024-09-02 09:43:21,63,1
179,2024-09-02 09:43:23,60,1
180,2024-09-02 09:43:27,58,1
181,2024-09-02 09:43:31,45,1
182,2024-09-02 09:45:35,40,0
183,2024-09-02 09:45:39,36,0
184,2024-09-02 09:45:39,36,0
185,2024-09-02 09:45:40,40,0
186,2024-09-02 09:45:43,38,0
187,2024-09-02 09:45:45,40,0
188,2024-09-02 09:45:47,21,0
189,2024-09-02 09:45:50,39,0
190,2024-09-02 09:45:53,36,0
191,2024-09-02 09:45:55,39,1
192,2024-09-02 09:47:58,42,1
193,2024-09-02 09:48:02,41,1
194,2024-09-02 09:48:03,43,1
195,2024-09-02 09:48:05,19,0
196,2024-09-02 09:48:08,15,0
197,2024-09-02 09:48:10,44,1
198,2024-09-02 09:48:12,44,1
199,2024-09-02 09:48:17,15,1
200,2024-09-02 09:50:21,38,1
201,2024-09-02 09:50:25,38,1
202,2024-09-02 09:50:25,38,1
203,2024-09-02 09:50:25,39,1
204,2024-09-02 09:50:27,39,0
205,2024-09-02 09:50:29,38,1
206,2024-09-02 09:50:31,39,1
207,2024-09-02 09:50:40,39,1
208,2024-09-02 09:52:45,45,0
209,2024-09-02 09:52:45,43,0
210,2024-09-02 09:52:47,26,1
211,2024-09-02 09:52:49,43,1
212,2024-09-02 09:52:51,42,0
213,2024-09-02 09:52:53,42,0
214,2024-09-02 09:52:55,43,0
215,2024-09-02 09:52:57,41,1
216,2024-09-02 09:52:59,43,1
